# 看过了、认下了的毛病 —— gaz verify 不再报。
# 要全部重看一遍:gaz verify --all
# 改好一条,它自己就不报了;这份名单在下次 --accept 时重写。
# 哪一类	记号	当时报的是什么
出处	一亚电工厂	没写出处
出处	上海仪器仪表研究所	没写出处
出处	上海传输线研究所	没写出处
出处	上海元件五厂	没写出处
出处	上海光学仪器研究所	没写出处
出处	上海公私合营兴东电子工业厂	没写出处
出处	上海工业自动化仪表研究所	没写出处
出处	上海市无线电技术研究所	没写出处
出处	上海市电子光学技术研究所	没写出处
出处	上海市计算技术研究所	没写出处
出处	上海微波技术研究所	没写出处
出处	上海微波设备研究所	没写出处
出处	上海微电机研究所	没写出处
出处	上海微电脑厂	没写出处
出处	上海无线电七厂	没写出处
出处	上海无线电十七厂	没写出处
出处	上海无线电十厂	没写出处
出处	上海无线电十四厂	没写出处
出处	上海王安电脑发展公司	没写出处
出处	上海电子计算机厂（上无十三）	没写出处
出处	上海计算机技术服务公司	没写出处
出处	上海长江计算机打印厂	没写出处
出处	中国科学院上海冶金研究所	没写出处
出处	交直电工厂	没写出处
出处	华东计算技术研究所	没写出处
出处	国营上海精密医疗器械厂	没写出处
出处	沪兴电子有限公司	没写出处
出处	黄浦仪器厂	没写出处
